"filename", "language", "JSON", "JavaScript", "Log", "CSS", "Markdown", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\Carousel.css", "CSS", 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\Carousel.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\Hero.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\Hero.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\HeroCategories.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 0, 1, 8, 57
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\HeroCategories.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 1, 4, 33
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\SideBar.css", "CSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Hero\SideBar.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MainCategories\MainCategories.css", "CSS", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MainCategories\MainCategories.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Market\Market.css", "CSS", 0, 0, 0, 63, 0, 0, 0, 0, 0, 17, 80
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Market\Market.js", "JavaScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 5, 117
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MiniMenuWrapper\AccountIcon.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MiniMenuWrapper\MiniMenu.css", "CSS", 0, 0, 0, 70, 0, 0, 0, 0, 2, 13, 85
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MiniMenuWrapper\MiniMenu.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 0, 9, 92
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MiniMenuWrapper\MiniMenuWrapper.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 1, 2, 12
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MiniMenuWrapper\MiniMenuWrapper.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MyCart\MyCart.css", "CSS", 0, 0, 0, 102, 0, 0, 0, 0, 0, 25, 127
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MyCart\MyCart.js", "JavaScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 9, 152
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MyCart\QuantityCounter.css", "CSS", 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\MyCart\QuantityCounter.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Pages\Cart.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\mitaki\Desktop\Node\e-commerce-gig\client\src\components\Pages\Home.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
